Price,Volume,Side
86664.882880,0.363410,bid
86664.872900,0.000000,bid
84266.469320,0.011843,bid
86762.247760,0.379145,offer
86762.257740,0.000000,offer
86690.341860,0.704442,bid
86664.912820,0.363410,bid
86664.882880,0.000000,bid
86660.202260,2.547910,bid
86620.292240,1.237766,bid
75882.231400,0.006541,bid
86745.930460,1.042412,offer
86773.954300,1.764201,offer
86664.922800,0.363410,bid
86664.912820,0.000000,bid
83542.939280,0.000000,bid
82318.652760,0.000000,bid
86762.237780,0.379145,offer
86762.247760,0.000000,offer
86712.936580,0.028773,bid
86711.918620,0.000000,bid
86708.954560,0.115098,bid
86705.770940,0.000000,bid
86711.978500,0.115094,bid
86708.954560,0.000000,bid
86664.962720,0.363409,bid
86664.922800,0.000000,bid
86762.227800,0.379145,offer
86762.237780,0.000000,offer
86722.547320,0.132607,bid
86664.992660,0.363409,bid
86664.962720,0.000000,bid
86665.002640,0.363409,bid
86664.992660,0.000000,bid
86722.557300,0.129235,offer
86762.217820,0.379145,offer
86762.227800,0.000000,offer
86665.022600,0.363409,bid
86665.002640,0.000000,bid
83268.629000,0.016779,bid
83687.539500,0.000000,bid
86665.042560,0.363409,bid
86665.022600,0.000000,bid
83708.986520,0.014307,bid
75882.231400,0.000000,bid
87744.150020,0.000852,offer
82806.225660,0.000000,bid
86684.413740,0.138972,bid
86665.052540,0.363409,bid
86665.042560,0.000000,bid
86652.328040,0.428517,bid
86622.398020,0.506519,bid
86620.292240,0.029387,bid
86591.819300,0.205293,bid
86762.058140,0.271350,offer
86762.207840,0.379145,offer
86762.217820,0.000000,offer
86821.000020,0.000000,offer
86665.082480,0.363409,bid
86665.052540,0.000000,bid
83746.970400,0.014300,bid
82754.010300,0.019296,bid
86665.142360,0.363409,bid
86665.082480,0.000000,bid
86723.425560,0.000000,offer
86762.187880,0.379145,offer
86762.207840,0.000000,offer
86665.182280,0.363409,bid
86665.142360,0.000000,bid
75882.231400,0.006541,bid
86723.425560,0.140771,offer
86731.060260,0.000000,offer
86733.944480,0.006569,offer
86737.906540,0.114814,offer
86738.884580,0.000000,offer
86762.177900,0.379145,offer
86762.187880,0.000000,offer
86690.341860,0.197628,bid
86688.026500,0.000000,bid
86665.361920,0.970075,bid
86660.202260,1.508173,bid
86657.687300,0.000000,bid
86591.819300,0.000000,bid
86504.294700,0.000000,bid
86745.940440,0.000000,offer
86754.643000,0.118647,offer
86773.954300,0.723739,offer
86776.299600,0.000000,offer
86780.581020,0.118661,offer
86810.690680,0.000000,offer
86745.930460,0.000000,offer
86694.303920,0.000000,bid
86682.587400,0.149155,bid
86665.202240,0.363408,bid
86665.182280,0.000000,bid
86762.167920,0.379145,offer
86762.177900,0.000000,offer
87744.150020,0.000000,offer
86690.341860,0.700011,bid
86688.026500,0.878477,bid
86665.222200,0.363408,bid
86665.202240,0.000000,bid
86657.687300,1.625099,bid
86747.407500,0.890843,offer
86777.766660,1.603143,offer
86722.547320,0.132637,bid
86665.242160,0.363408,bid
86665.222200,0.000000,bid
83880.822160,0.013088,bid
83104.897120,0.016812,bid
86723.415580,0.155880,bid
86722.547320,0.242897,bid
86695.271980,0.303255,bid
86677.208180,0.000000,bid
86722.557300,0.000000,offer
86723.425560,0.000000,offer
86723.435540,0.000000,offer
86723.864680,0.040781,offer
86728.305780,0.000000,offer
86731.070240,0.000000,offer
86735.361640,0.000000,offer
86735.371620,0.000000,offer
86762.068120,0.000000,offer
86762.157940,0.379145,offer
86762.167920,0.000000,offer
86733.565240,0.005561,bid
86733.525320,0.079645,bid
86728.435520,0.002894,bid
86728.425540,0.013097,bid
86728.315760,0.050900,bid
86728.305780,0.079645,bid
86724.034340,0.003453,bid
86724.024360,0.272134,bid
86724.014380,0.095000,bid
86723.914580,0.040000,bid
86723.904600,0.000000,bid
86723.864680,0.015349,bid
86723.854700,0.000000,bid
86723.435540,0.010507,bid
86723.425560,0.085829,bid
86723.415580,0.000000,bid
86722.826760,0.118100,bid
86722.557300,0.000000,bid
86722.547320,0.087438,bid
86719.214000,0.000119,bid
86719.204020,0.023013,bid
86719.174080,0.000000,bid
86719.164100,0.000000,bid
86713.854740,0.000000,bid
86713.844760,0.000000,bid
86712.936580,0.000000,bid
86712.357740,0.000000,bid
86712.247960,0.139878,bid
86711.978500,0.000000,bid
86710.311840,0.000000,bid
86708.365740,1.150985,bid
86708.086300,0.000000,bid
86707.946580,0.228326,bid
86707.936600,0.587651,bid
86707.257960,0.000000,bid
86705.631220,0.000000,bid
86705.621240,0.000000,bid
86705.361760,0.000000,bid
86704.483520,0.000000,bid
86697.038440,0.000000,bid
86695.741040,0.233715,bid
86694.493540,0.005754,bid
86694.333860,0.000000,bid
86693.784960,0.000000,bid
86693.186160,0.000000,bid
86692.906720,0.000000,bid
86688.645260,2.878116,bid
86687.577400,0.000000,bid
86687.377800,0.000000,bid
86687.038480,0.023448,bid
86685.781000,0.000000,bid
